male,Ronald,C,Kingsley,Kansas City,MO
female,Barbara,G,Lee,Harlan,IA
male,Aldo,K,Rodriguez,Minneapolis,MN
male,Dominic,E,Kennedy,Fort Washington,PA
male,Thomas,L,Lewis,Boston,MA
female,Katrina,L,Maddox,Donora,PA
male,David,H,Stein,Miramar,FL
male,James,D,Arnold,Manhattan,NY
male,Joseph,L,McKenzie,Lombard,IL
female,Maria,W,Moss,Phila,PA
female,Elizabeth,M,Bundy,San Francisco,CA
female,Joanna,J,Jaworski,Narrows,VA
male,Richard,D,Richmond,Everett,WA
male,Steven,M,Matthews,Kenner,LA
male,Rudolph,N,Masters,Bensalem,PA
male,Scott,T,North,Clinton,MA
male,Douglas,E,Peterson,Minneapolis,MN
male,Nathan,A,Reed,Kennewick,WA
male,Richard,M,Gray,Madison,WI
male,Benjamin,S,Williams,Philadelphia,PA
male,Scott,P,Inman,Rushville,MO
male,Ronald,B,Hughes,Louisville,KY
male,Richard,T,Arredondo,Waukesha,WI
female,Louise,C,Collett,Dayton,OH
male,Donald,G,Mohn,Pritchardville,SC
female,Hattie,J,Arciniega,Atlanta,GA
male,John,A,Woods,Fort Myers,FL
female,Stella,J,Jordan,Washington,DC
male,Ian,B,Blouin,Los Angeles,CA
male,Andre,L,Lee,Houston,TX
male,Mark,A,Degroot,Wichita,KS
male,Robert,L,Badillo,Tunica,MS
male,Arthur,K,Wells,Washington,MD
male,Daniel,K,Umstead,Cincinnati,OH
female,Juana,F,Husk,Jamesburg,NJ
female,Stacey,E,Snively,Boise,ID
male,Manuel,J,Lowrance,Amarillo,OK
male,Homer,C,Denham,West Chazy,NY
male,William,C,Nichols,Sacramento,CA
male,Albert,K,Reiss,San Diego,CA
male,Benedict,S,Ellis,Billings,MT
female,Andrea,D,Coles,Duluth,GA
female,Melinda,J,Dubois,San Francisco,CA
male,Derick,J,Brooks,Collingswood,NJ
male,Gary,B,Phelps,Collegeville,PA
female,Jeanette,T,Adair,Los Angeles,CA
male,Joshua,C,McDermott,El Campo,TX
male,Michael,V,Wright,Sioux City,IA
male,Steve,M,Postell,Little Rock,AR
male,Carl,W,Chamberlin,New York,NY
male,Eric,Y,Rodriguez,Wilsonville,OR
male,James,S,Gong,Kerman,CA
male,Jacob,J,Leach,Savannah,GA
male,David,T,Dean,San Angelo,TX
male,George,L,Ennis,Seattle,WA
male,Clifford,H,Cho,Garrison,NY
male,Bennett,M,Franco,Mountain View,WY
male,John,D,Stubblefield,Arlington Heights,IL
female,Shirley,M,Whaley,Atlanta,GA
male,Jefferson,R,Brooks,New Lisbon,WI
male,Reggie,G,Knight,Spring Valley,NY
male,Jason,S,Johnson,Ellettsville,IN
male,Rick,D,McCray,Saline,LA
male,James,C,Oneal,West Palm Beach,FL
male,Kevin,M,Davis,Raleigh,NC
male,Walter,M,Harris,Hickory Hills,IL
male,Gus,S,Weems,Sewanee,TN
male,Dennis,E,Gamez,Denver,CO
male,Frank,C,McCallister,Blue Mound,TX
male,Jeffrey,L,Komar,Wenatchee,WA
male,Jamie,L,Bartley,Irvine,CA
female,Hilda,J,Corley,Seattle,WA
female,Connie,E,Sellers,Chicago,IL
